window_time,magnitude_avg,sma,max_accel,max_gyro,std_accel,jerk_peak,bpm,fsm_state,fall_detected
2.36,10.78969,5.375682,45.60169,1.336631,4.522699,1630.265,103,2,0
4.43,10.38243,5.003966,10.45328,0.126217,0.053556,0.690842,113,2,0
6.53,10.49112,5.03674,10.52438,0.046547,0.020387,0.198126,111,3,1
