window_time,magnitude_avg,sma,max_accel,max_gyro,std_accel,jerk_peak,bpm,fsm_state,fall_detected
2.41,10.84763,5.690605,45.75761,2.208134,5.540845,1127.771,105,2,0
4.52,9.881773,4.95218,12.7571,1.171916,1.505786,223.3581,110,2,0
6.64,10.2271,5.256466,10.99827,0.778017,0.572688,3.706026,92,0,0
