window_time,magnitude_avg,sma,max_accel,max_gyro,std_accel,jerk_peak,bpm,fsm_state,fall_detected
2.58,9.57245,4.821613,14.83422,2.435654,1.558311,259.0591,95,2,0
5.34,10.39198,4.818788,10.62535,0.715618,0.237786,2.266788,114,2,0
7.46,10.68464,4.771165,10.73148,0.123838,0.030179,0.241804,114,3,1
